,Vehicle ID,Year,Class,Drive,Transmission,Engine Cylinders,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Fuel Economy Score,Gasoline/Electricity Blended
31993,33146,2013,Compact Cars,Front-Wheel Drive,Automatic (S5),4,2,0,0,Premium,7,FALSE
31994,33147,2013,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,2.4,0,0,Premium,6,FALSE
31995,33148,2013,Compact Cars,Front-Wheel Drive,Auto(AV-S7),4,1.5,0,0,Premium,9,FALSE
31996,33234,2013,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.7,0,0,Premium,4,FALSE
31997,32634,2013,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.5,0,0,Premium,6,FALSE
31998,32635,2013,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,0,0,Premium,5,FALSE
31999,33160,2013,Midsize Cars,Front-Wheel Drive,Automatic (S6),6,3.5,0,0,Premium,6,FALSE
32000,33162,2013,Midsize Cars,All-Wheel Drive,Automatic (S6),6,3.7,0,0,Premium,5,FALSE
32001,33161,2013,Midsize Cars,All-Wheel Drive,Manual 6-Speed,6,3.7,0,0,Premium,5,FALSE
32002,33150,2013,Compact Cars,Front-Wheel Drive,Automatic (S5),4,2.4,0,0,Premium,7,FALSE
32003,33151,2013,Compact Cars,Front-Wheel Drive,Automatic (S5),6,3.5,0,0,Premium,6,FALSE
32004,33149,2013,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,2.4,0,0,Premium,6,FALSE
32005,33177,2013,Small Station Wagons,Front-Wheel Drive,Automatic (S5),4,2.4,0,0,Premium,6,FALSE
32006,33533,2013,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.7,0,0,Premium,4,FALSE
32007,33388,2013,Minicompact Cars,Rear-Wheel Drive,Automatic (S6),12,5.9,0,0,Premium,3,FALSE
32008,33385,2013,Two Seaters,Rear-Wheel Drive,Auto(AM7),8,4.7,0,0,Premium,3,FALSE
32009,33384,2013,Two Seaters,Rear-Wheel Drive,Manual 6-Speed,8,4.7,0,0,Premium,3,FALSE
32010,33387,2013,Two Seaters,Rear-Wheel Drive,Auto(AM7),8,4.7,0,0,Premium,3,FALSE
32011,33386,2013,Two Seaters,Rear-Wheel Drive,Manual 6-Speed,8,4.7,0,0,Premium,3,FALSE
32012,32621,2013,Small Station Wagons,Front-Wheel Drive,Auto(AM-S6),4,2,1,0,Premium,6,FALSE
32013,32620,2013,Small Station Wagons,Front-Wheel Drive,Manual 6-Speed,4,2,1,0,Premium,6,FALSE
32014,32730,2013,Small Station Wagons,All-Wheel Drive,Auto(AM-S6),4,2,1,0,Premium,6,FALSE
32015,32687,2013,Compact Cars,Front-Wheel Drive,Auto(AV-S8),4,2,1,0,Premium,7,FALSE
32016,32688,2013,Compact Cars,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium,6,FALSE
32017,33152,2013,Compact Cars,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium or E85,6,FALSE
32018,32572,2013,Compact Cars,All-Wheel Drive,Manual 6-Speed,4,2,1,0,Premium,7,FALSE
32019,32674,2013,Subcompact Cars,Front-Wheel Drive,Auto(AV-S8),4,2,1,0,Premium,7,FALSE
32020,32676,2013,Subcompact Cars,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium,6,FALSE
32021,33143,2013,Subcompact Cars,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium or E85,6,FALSE
32022,32675,2013,Subcompact Cars,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium,6,FALSE
32023,33142,2013,Subcompact Cars,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium or E85,6,FALSE
32024,32560,2013,Subcompact Cars,All-Wheel Drive,Manual 6-Speed,4,2,1,0,Premium,7,FALSE
32025,32700,2013,Midsize Cars,Front-Wheel Drive,Auto(AV-S8),4,2,1,0,Premium,7,FALSE
32026,32701,2013,Midsize Cars,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium,6,FALSE
32027,32703,2013,Midsize Cars,All-Wheel Drive,Automatic (S8),6,3,0,1,Premium,5,FALSE
32028,32702,2013,Midsize Cars,All-Wheel Drive,Automatic (S8),6,3,0,1,Premium,5,FALSE
32029,32398,2013,Midsize Cars,All-Wheel Drive,Automatic (S8),6,3,0,1,Premium,5,FALSE
32030,33071,2013,Midsize Cars,All-Wheel Drive,Automatic (S8),8,4,1,0,Premium,5,FALSE
32031,32406,2013,Large Cars,All-Wheel Drive,Automatic (S8),6,3,0,1,Premium,5,FALSE
32032,33089,2013,Large Cars,All-Wheel Drive,Automatic (S8),8,4,1,0,Premium,4,FALSE
32033,33090,2013,Large Cars,All-Wheel Drive,Automatic (S8),12,6.3,0,0,Premium,3,FALSE
32034,32410,2013,Small Station Wagons,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium,6,FALSE
32035,33178,2013,Small Station Wagons,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium or E85,6,FALSE
32036,32848,2013,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium,6,FALSE
32037,33278,2013,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium or E85,6,FALSE
32038,33355,2013,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),6,3,0,1,Premium,5,FALSE
32039,33301,2013,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium,7,FALSE
32040,32648,2013,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),6,3,0,1,Premium,4,FALSE
32041,32564,2013,Subcompact Cars,All-Wheel Drive,Auto(AM-S7),8,4.2,0,0,Premium,4,FALSE
32042,33369,2013,Subcompact Cars,All-Wheel Drive,Auto(AM-S7),8,4.2,0,0,Premium,4,FALSE
32043,32573,2013,Compact Cars,All-Wheel Drive,Auto(AM-S7),6,3,0,1,Premium,5,FALSE
32044,32574,2013,Compact Cars,All-Wheel Drive,Manual 6-Speed,6,3,0,1,Premium,5,FALSE
32045,32561,2013,Subcompact Cars,All-Wheel Drive,Auto(AM-S7),6,3,0,1,Premium,5,FALSE
32046,32563,2013,Subcompact Cars,All-Wheel Drive,Manual 6-Speed,6,3,0,1,Premium,5,FALSE
32047,32562,2013,Subcompact Cars,All-Wheel Drive,Auto(AM-S7),6,3,0,1,Premium,5,FALSE
32048,32959,2013,Midsize Cars,All-Wheel Drive,Auto(AM-S7),8,4,1,0,Premium,5,FALSE
32049,32958,2013,Midsize Cars,All-Wheel Drive,Auto(AM-S7),8,4,1,0,Premium,5,FALSE
32050,33163,2013,Midsize Cars,All-Wheel Drive,Automatic (S8),8,4,1,0,Premium,4,FALSE
32051,32565,2013,Subcompact Cars,All-Wheel Drive,Auto(AM-S6),4,2,1,0,Premium,7,FALSE
32052,32558,2013,Two Seaters,All-Wheel Drive,Auto(AM-S6),4,2,1,0,Premium,7,FALSE
32053,32566,2013,Subcompact Cars,All-Wheel Drive,Manual 6-Speed,5,2.5,1,0,Premium,5,FALSE
32054,32366,2013,Midsize Cars,All-Wheel Drive,Automatic (S6),12,6,1,0,Premium or E85,2,FALSE
32055,32363,2013,Compact Cars,All-Wheel Drive,Automatic (S6),12,6,1,0,Premium or E85,2,FALSE
32056,32362,2013,Compact Cars,All-Wheel Drive,Automatic (S8),8,4,1,0,Premium,4,FALSE
32057,33313,2013,Compact Cars,All-Wheel Drive,Automatic (S8),12,6,1,0,Premium or E85,3,FALSE
32058,32360,2013,Subcompact Cars,All-Wheel Drive,Automatic (S6),12,6,1,0,Premium or E85,2,FALSE
32059,32359,2013,Subcompact Cars,All-Wheel Drive,Automatic (S8),8,4,1,0,Premium,4,FALSE
32060,33281,2013,Subcompact Cars,All-Wheel Drive,Automatic (S8),12,6,1,0,Premium or E85,3,FALSE
32061,32361,2013,Subcompact Cars,All-Wheel Drive,Automatic (S6),12,6,1,0,Premium or E85,2,FALSE
32062,33164,2013,Midsize Cars,Rear-Wheel Drive,Automatic (S8),8,6.8,1,0,Premium,2,FALSE
32063,33033,2013,Subcompact Cars,Rear-Wheel Drive,Automatic (S6),6,3,0,0,Premium,5,FALSE
32064,33034,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-Speed,6,3,0,0,Premium,5,FALSE
32065,33031,2013,Subcompact Cars,Rear-Wheel Drive,Automatic (S6),6,3,0,0,Premium,5,FALSE
32066,33032,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-Speed,6,3,0,0,Premium,5,FALSE
32067,32885,2013,Subcompact Cars,Rear-Wheel Drive,Auto(AM-S7),6,3,1,0,Premium,5,FALSE
32068,33035,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-Speed,6,3,1,0,Premium,6,FALSE
32069,32886,2013,Subcompact Cars,Rear-Wheel Drive,Auto(AM-S7),6,3,1,0,Premium,5,FALSE
32070,32887,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-Speed,6,3,1,0,Premium,5,FALSE
32071,33502,2013,Compact Cars,Rear-Wheel Drive,Automatic (S8),4,2,1,0,Premium,7,FALSE
32072,33469,2013,Compact Cars,Rear-Wheel Drive,Manual 6-Speed,4,2,1,0,Premium,7,FALSE
32073,33470,2013,Compact Cars,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium,7,FALSE
32074,33759,2013,Compact Cars,All-Wheel Drive,Manual 6-Speed,4,2,1,0,Premium,7,FALSE
32075,32904,2013,Compact Cars,Rear-Wheel Drive,Automatic (S8),4,2,1,0,Premium,7,FALSE
32076,32905,2013,Compact Cars,Rear-Wheel Drive,Manual 6-Speed,4,2,1,0,Premium,7,FALSE
32077,33038,2013,Subcompact Cars,Rear-Wheel Drive,Automatic (S6),6,3,0,0,Premium,5,FALSE
32078,33039,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-Speed,6,3,0,0,Premium,5,FALSE
32079,33052,2013,Subcompact Cars,Rear-Wheel Drive,Automatic (S6),6,3,0,0,Premium,5,FALSE
32080,33053,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-Speed,6,3,0,0,Premium,5,FALSE
32081,33036,2013,Subcompact Cars,All-Wheel Drive,Automatic (S6),6,3,0,0,Premium,5,FALSE
32082,33037,2013,Subcompact Cars,All-Wheel Drive,Manual 6-Speed,6,3,0,0,Premium,4,FALSE
32083,32906,2013,Compact Cars,All-Wheel Drive,Automatic (S8),4,2,1,0,Premium,7,FALSE
32084,33054,2013,Compact Cars,Rear-Wheel Drive,Automatic (S8),6,3,1,0,Premium,7,FALSE
32085,32907,2013,Compact Cars,Rear-Wheel Drive,Manual 6-Speed,6,3,1,0,Premium,6,FALSE
32086,32894,2013,Subcompact Cars,Rear-Wheel Drive,Automatic (S6),6,3,1,0,Premium,5,FALSE
32087,32895,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-Speed,6,3,1,0,Premium,5,FALSE
32088,32888,2013,Subcompact Cars,Rear-Wheel Drive,Automatic (S6),6,3,1,0,Premium,5,FALSE
32089,32889,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-Speed,6,3,1,0,Premium,5,FALSE
