Vehicle ID,Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Fuel Type 1,Fuel Type 2,City MPG,Highway MPG,Combined MPG,Annual Fuel Cost,Fuel Economy Score,Gasoline/Electricity Blended
38001,2017,BMW,i3 BEV (94 Amp-hour battery),Subcompact Cars,Rear-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,129,106,118,550,10,FALSE
38002,2017,Mercedes-Benz,B250e,Midsize Cars,Front-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,85,82,84,800,10,FALSE
38003,2016,Ferrari,488 Spider,Two Seaters,Rear-Wheel Drive,Auto(AM7),8,3.9,T,,Premium,Premium Gasoline,,15,22,18,2350,4,FALSE
38004,2016,Ferrari,488 Spider,Two Seaters,Rear-Wheel Drive,Auto(AM7),8,3.9,T,,Premium,Premium Gasoline,,16,22,18,2350,4,FALSE
38005,2017,Audi,TT Roadster quattro,Two Seaters,All-Wheel Drive,Auto(AM-S6),4,2,T,,Regular,Regular Gasoline,,23,30,26,1350,6,FALSE
38006,2017,Audi,A3 quattro,Subcompact Cars,All-Wheel Drive,Auto(AM-S6),4,2,T,,Regular,Regular Gasoline,,24,31,27,1300,6,FALSE
38007,2017,Audi,TT Coupe quattro,Subcompact Cars,All-Wheel Drive,Auto(AM-S6),4,2,T,,Regular,Regular Gasoline,,23,30,26,1350,6,FALSE
38008,2017,BMW,M240i Coupe,Subcompact Cars,Rear-Wheel Drive,Manual 6-Speed,6,3,T,,Premium,Premium Gasoline,,19,28,22,1900,5,FALSE
38009,2017,BMW,M240i xDrive Coupe,Subcompact Cars,All-Wheel Drive,Automatic (S8),6,3,T,,Premium,Premium Gasoline,,21,31,25,1700,5,FALSE
38010,2017,BMW,M240i Convertible,Subcompact Cars,Rear-Wheel Drive,Manual 6-Speed,6,3,T,,Premium,Premium Gasoline,,19,29,23,1850,5,FALSE
38011,2017,BMW,M240i xDrive Convertible,Subcompact Cars,All-Wheel Drive,Automatic (S8),6,3,T,,Premium,Premium Gasoline,,21,31,25,1700,5,FALSE
38012,2017,BMW,440i xDrive Convertible,Subcompact Cars,All-Wheel Drive,Automatic (S8),6,3,T,,Premium,Premium Gasoline,,20,30,24,1750,5,FALSE
